Rank,Filename,Sector,Overall_Score,Match_Percentage,Text_Similarity,Skill_Score,Experience_Score,Education_Score,Experience_Years,Education_Level,Skills_Count,All_Skills,Recommendations,File_Path
11,24946537.pdf,ADVOCATE,0.6262,62.62,0.1349,0.75,0.7,1.0,35,3,12,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:seo | MARKETING:sem | MARKETING:ppc | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: adobe creative suite, digital marketing, social media, communication",..\data\data\data\ADVOCATE\24946537.pdf
12,12230301.pdf,BUSINESS-DEVELOPMENT,0.6237,62.37,0.2374,0.6875,0.7,1.0,29,3,11,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:analytics | MARKETING:seo | MARKETING:ppc | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, sem, digital marketing, sem, social media",..\data\data\data\BUSINESS-DEVELOPMENT\12230301.pdf
13,25413261.pdf,PUBLIC-RELATIONS,0.6156,61.56,0.205,0.6875,0.7,1.0,20,3,11,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, google analytics, digital marketing, ppc",..\data\data\data\PUBLIC-RELATIONS\25413261.pdf
14,16536141.pdf,DIGITAL-MEDIA,0.6133,61.33,0.3909,0.8125,0.0,1.0,0,3,13,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:ppc | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, sem, sem | Gain 4 more years of relevant experience",..\data\data\data\DIGITAL-MEDIA\16536141.pdf
15,93828034.pdf,PUBLIC-RELATIONS,0.6122,61.22,0.1915,0.6875,0.7,1.0,20,4,11,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, sem, google analytics, sem, ppc",..\data\data\data\PUBLIC-RELATIONS\93828034.pdf
16,35164503.pdf,FITNESS,0.6066,60.66,0.094,0.6875,0.825,1.0,11,4,11,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:sem | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, ppc, digital marketing, seo",..\data\data\data\FITNESS\35164503.pdf
17,47996197.pdf,HEALTHCARE,0.6052,60.52,0.3608,0.75,0.85,0.3333,10,1,12,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, google analytics, ppc | Consider pursuing higher education qualifications",..\data\data\data\HEALTHCARE\47996197.pdf
18,32140087.pdf,SALES,0.5997,59.97,0.2239,0.875,0.0,1.0,0,4,14,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DESIGNER:adobe creative suite | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media,"Consider developing skills in: ppc, communication | Gain 4 more years of relevant experience",..\data\data\data\SALES\32140087.pdf
19,85421438.pdf,HEALTHCARE,0.5994,59.94,0.4476,0.75,0.0,1.0,0,3,12,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, ppc, social media | Gain 4 more years of relevant experience",..\data\data\data\HEALTHCARE\85421438.pdf
20,18927233.pdf,DIGITAL-MEDIA,0.5982,59.82,0.3303,0.8125,0.0,1.0,0,3,13,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, ppc | Gain 4 more years of relevant experience",..\data\data\data\DIGITAL-MEDIA\18927233.pdf
21,13328680.pdf,DIGITAL-MEDIA,0.5885,58.85,0.2615,0.5625,0.8,1.0,12,4,9,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:ppc | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: adobe creative suite, sem, seo, sem, seo",..\data\data\data\DIGITAL-MEDIA\13328680.pdf
22,33072201.pdf,PUBLIC-RELATIONS,0.5854,58.54,0.1817,0.625,0.725,1.0,15,4,10,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | MARKETING:ppc | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, digital marketing",..\data\data\data\PUBLIC-RELATIONS\33072201.pdf
23,31162167.pdf,DIGITAL-MEDIA,0.5854,58.54,0.2565,0.5,0.975,1.0,5,4,8,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | MARKETING:digital marketing | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, ppc",..\data\data\data\DIGITAL-MEDIA\31162167.pdf
24,91318828.pdf,DIGITAL-MEDIA,0.5817,58.17,0.2045,0.5625,0.85,1.0,10,3,9,BUSINESS-DEVELOPMENT:sales | DESIGNER:adobe creative suite | DIGITAL-MEDIA:analytics | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, sem, seo, ppc, sem",..\data\data\data\DIGITAL-MEDIA\91318828.pdf
25,16244633.pdf,ARTS,0.5807,58.07,0.088,0.625,0.85,1.0,10,4,10,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, google analytics, ppc, digital marketing",..\data\data\data\ARTS\16244633.pdf
26,24658786.pdf,DIGITAL-MEDIA,0.5802,58.02,0.1759,0.625,0.7,1.0,45,3,10,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:analytics | MARKETING:seo | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, sem, digital marketing, sem",..\data\data\data\DIGITAL-MEDIA\24658786.pdf
27,25949631.pdf,DESIGNER,0.579,57.9,0.1711,0.625,0.7,1.0,41,3,10,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | MARKETING:seo | MARKETING:sem | MARKETING:ppc | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media,"Consider developing skills in: excel, adobe creative suite, analytics, google analytics, digital marketing",..\data\data\data\DESIGNER\25949631.pdf
28,31220062.pdf,PUBLIC-RELATIONS,0.576,57.6,0.1816,0.5625,0.85,1.0,10,3,9,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\PUBLIC-RELATIONS\31220062.pdf
29,18354623.pdf,DIGITAL-MEDIA,0.5742,57.42,0.3469,0.75,0.0,1.0,0,4,12,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media,"Consider developing skills in: excel, adobe creative suite, ppc, communication | Gain 4 more years of relevant experience",..\data\data\data\DIGITAL-MEDIA\18354623.pdf
30,73282756.pdf,DIGITAL-MEDIA,0.5733,57.33,0.2306,0.8125,0.0,1.0,0,4,13,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, ppc, social media | Gain 4 more years of relevant experience",..\data\data\data\DIGITAL-MEDIA\73282756.pdf
31,15765660.pdf,SALES,0.5704,57.04,0.3314,0.75,0.0,1.0,0,4,12,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:sem | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, ppc, seo | Gain 4 more years of relevant experience",..\data\data\data\SALES\15765660.pdf
32,13837784.pdf,DIGITAL-MEDIA,0.5639,56.39,0.3058,0.75,0.0,1.0,0,4,12,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:sem | MARKETING:ppc | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, digital marketing, seo | Gain 4 more years of relevant experience",..\data\data\data\DIGITAL-MEDIA\13837784.pdf
33,81508860.pdf,DIGITAL-MEDIA,0.561,56.1,0.1816,0.8125,0.0,1.0,0,4,13,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, google analytics, ppc | Gain 4 more years of relevant experience",..\data\data\data\DIGITAL-MEDIA\81508860.pdf
34,10176013.pdf,CONSTRUCTION,0.5604,56.04,0.0516,0.625,0.775,1.0,13,4,10,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, google analytics, digital marketing, ppc",..\data\data\data\CONSTRUCTION\10176013.pdf
35,61634281.pdf,FINANCE,0.5587,55.87,0.1725,0.8125,0.0,1.0,0,4,13,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, ppc | Gain 4 more years of relevant experience",..\data\data\data\FINANCE\61634281.pdf
36,23864858.pdf,DIGITAL-MEDIA,0.5586,55.86,0.2844,0.75,0.0,1.0,0,3,12,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: adobe creative suite, ppc, social media, communication | Gain 4 more years of relevant experience",..\data\data\data\DIGITAL-MEDIA\23864858.pdf
37,18525641.pdf,DIGITAL-MEDIA,0.5582,55.82,0.2004,0.5625,0.7,1.0,16,3,9,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, sem, seo, ppc, google analytics",..\data\data\data\DIGITAL-MEDIA\18525641.pdf
38,19497420.pdf,PUBLIC-RELATIONS,0.5582,55.82,0.2229,0.5,0.85,1.0,10,3,8,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, sem, seo, ppc",..\data\data\data\PUBLIC-RELATIONS\19497420.pdf
39,20628003.pdf,DIGITAL-MEDIA,0.5504,55.04,0.4265,0.875,0.0,0.3333,0,1,14,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | MARKETING:ppc | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\DIGITAL-MEDIA\20628003.pdf
40,14209965.pdf,DIGITAL-MEDIA,0.549,54.9,0.2009,0.5,0.825,1.0,11,4,8,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\DIGITAL-MEDIA\14209965.pdf
41,49119887.pdf,PUBLIC-RELATIONS,0.5467,54.67,0.2142,0.4375,0.975,1.0,5,3,7,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing",..\data\data\data\PUBLIC-RELATIONS\49119887.pdf
42,11209758.pdf,CHEF,0.5456,54.56,0.1349,0.5625,0.725,1.0,15,3,9,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:analytics | MARKETING:seo | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media,"Consider developing skills in: adobe creative suite, sem, google analytics, sem, digital marketing",..\data\data\data\CHEF\11209758.pdf
43,29196643.pdf,CONSULTANT,0.5447,54.47,0.1912,0.4375,1.0,1.0,4,4,7,ACCOUNTANT:excel | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:sem | MARKETING:google analytics | PHARMACEUTICAL:marketing | SOFT-SKILLS:communication,"Consider developing skills in: sales, adobe creative suite, seo, ppc, digital marketing",..\data\data\data\CONSULTANT\29196643.pdf
44,16985289.pdf,APPAREL,0.5421,54.21,0.2185,0.75,0.0,1.0,0,4,12,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, sem, sem, ppc | Gain 4 more years of relevant experience",..\data\data\data\APPAREL\16985289.pdf
45,37750854.pdf,APPAREL,0.5418,54.18,0.1346,0.5625,0.7,1.0,20,3,9,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: excel, adobe creative suite, google analytics, digital marketing, ppc",..\data\data\data\APPAREL\37750854.pdf
46,34712719.pdf,PUBLIC-RELATIONS,0.5411,54.11,0.0843,0.625,0.925,0.6667,7,2,10,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, google analytics, ppc, digital marketing | Consider pursuing higher education qualifications",..\data\data\data\PUBLIC-RELATIONS\34712719.pdf
47,20033302.pdf,CHEF,0.5408,54.08,0.1159,0.5625,0.725,1.0,15,3,9,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:analytics | MARKETING:seo | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media,"Consider developing skills in: adobe creative suite, sem, google analytics, sem, digital marketing",..\data\data\data\CHEF\20033302.pdf
48,23628651.pdf,TEACHER,0.5402,54.02,0.0758,0.5,0.975,1.0,5,3,8,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\TEACHER\23628651.pdf
49,26987539.pdf,BANKING,0.5372,53.72,0.1164,0.5625,0.7,1.0,17,3,9,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media,"Consider developing skills in: adobe creative suite, seo, google analytics, ppc, digital marketing",..\data\data\data\BANKING\26987539.pdf
50,27497542.pdf,DESIGNER,0.5361,53.61,0.0594,0.5,0.975,1.0,5,3,8,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\DESIGNER\27497542.pdf
51,24240349.pdf,TEACHER,0.5332,53.32,0.1005,0.5625,0.7,1.0,16,3,9,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc",..\data\data\data\TEACHER\24240349.pdf
